Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Hubei,China,2020-03-21T10:13:08,67800,3139,58946,30.9756,112.2707
France,France,2020-03-21T20:43:02,14282,562,12,46.2276,2.2137
New York,US,2020-03-21T22:43:04,11710,60,0,42.1657,-74.9481
United Kingdom,United Kingdom,2020-03-21T20:43:03,5018,233,65,55.3781,-3.436
Netherlands,Netherlands,2020-03-21T14:43:04,3631,136,2,52.1326,5.2913
Washington,US,2020-03-21T22:43:04,1793,94,0,47.4009,-121.4905
Guangdong,China,2020-03-21T12:43:08,1400,8,1325,23.3417,113.4244
California,US,2020-03-21T22:43:04,1364,24,0,36.1162,-119.6816
New Jersey,US,2020-03-21T19:43:03,1327,16,0,40.2989,-74.521
Denmark,Denmark,2020-03-21T12:43:08,1326,13,1,56.2639,9.5018
Henan,China,2020-03-14T09:53:08,1273,22,1250,33.882,113.614
Zhejiang,China,2020-03-21T03:43:03,1236,1,1219,29.1832,120.0934
Hunan,China,2020-03-14T08:33:03,1018,4,1014,27.6104,111.7088
Anhui,China,2020-03-11T02:18:14,990,6,984,31.8257,117.2264
Jiangxi,China,2020-03-12T02:13:04,935,1,934,27.614,115.7221
Michigan,US,2020-03-21T22:43:04,788,5,0,43.3266,-84.5361
Shandong,China,2020-03-21T00:43:02,764,7,749,36.3427,118.1498
Illinois,US,2020-03-21T23:13:18,753,6,0,40.3495,-88.9861
Diamond Princess,Cruise Ship,2020-03-21T02:13:32,712,8,325,35.4498,139.6649
Florida,US,2020-03-21T23:13:18,659,13,0,27.7663,-81.6868
Jiangsu,China,2020-03-15T01:53:02,631,0,631,32.9711,119.455
Louisiana,US,2020-03-21T15:43:05,585,16,0,31.1695,-91.8678
Texas,US,2020-03-21T23:13:17,581,5,0,31.0545,-97.5635
Chongqing,China,2020-03-15T03:53:04,576,6,570,30.0572,107.874
Sichuan,China,2020-03-21T01:13:11,542,3,536,30.6171,102.7103
Massachusetts,US,2020-03-21T23:13:18,525,1,0,42.2302,-71.5301
Georgia,US,2020-03-21T17:43:03,507,14,0,33.0406,-83.6431
Beijing,China,2020-03-21T05:13:04,504,8,396,40.1824,116.4142
Heilongjiang,China,2020-03-20T02:13:46,484,13,463,47.862,127.7615
New South Wales,Australia,2020-03-21T13:13:35,436,6,4,-33.8688,151.2093
British Columbia,Canada,2020-03-21T21:13:30,424,10,4,53.7267,-127.6476
Pennsylvania,US,2020-03-21T23:13:17,396,2,0,40.5908,-77.2098
Colorado,US,2020-03-21T23:13:18,390,4,0,39.0598,-105.3111
Shanghai,China,2020-03-21T04:43:06,380,3,327,31.202,121.4491
Ontario,Canada,2020-03-21T21:13:30,377,3,6,51.2538,-85.3232
Tennessee,US,2020-03-21T23:13:18,371,1,0,35.7478,-86.6923
Hebei,China,2020-03-13T11:09:03,318,6,310,38.0428,114.5149
Fujian,China,2020-03-21T01:13:10,303,1,295,26.0789,117.9874
Wisconsin,US,2020-03-21T23:13:18,282,4,0,44.2685,-89.6165
Hong Kong,China,2020-03-21T09:13:14,273,4,98,22.3,114.2
Guangxi,China,2020-03-20T00:43:02,254,2,250,23.8298,108.7881
North Carolina,US,2020-03-21T23:13:18,253,0,0,35.6301,-79.8064
Shaanxi,China,2020-03-21T01:43:03,248,3,239,35.1917,108.8701
Ohio,US,2020-03-21T19:43:03,248,3,0,40.3888,-82.7649
Victoria,Australia,2020-03-21T13:13:35,229,0,8,-37.8136,144.9631
Queensland,Australia,2020-03-21T13:13:35,221,0,8,-28.0167,153.4
Alberta,Canada,2020-03-21T02:43:03,195,1,0,53.9333,-116.5765
Connecticut,US,2020-03-21T02:43:03,194,4,0,41.5978,-72.7554
Maryland,US,2020-03-21T23:13:18,193,2,0,39.0639,-76.8021
Quebec,Canada,2020-03-21T21:13:30,181,5,0,52.9399,-73.5491
Yunnan,China,2020-03-16T23:53:02,176,2,172,24.974,101.487
South Carolina,US,2020-03-21T23:13:17,171,3,0,33.8569,-80.945
Hainan,China,2020-03-16T14:38:45,168,6,161,19.1959,109.7453
Nevada,US,2020-03-21T02:43:03,161,2,0,38.3135,-117.0554
Virginia,US,2020-03-21T19:43:03,156,2,0,37.7693,-78.17
Guizhou,China,2020-03-18T01:53:03,146,2,144,26.8154,106.8748
Mississippi,US,2020-03-21T17:13:44,140,1,0,32.7416,-89.6787
Minnesota,US,2020-03-21T19:43:03,138,1,0,45.6945,-93.9002
Tianjin,China,2020-03-19T23:43:03,137,3,133,39.3054,117.323
Utah,US,2020-03-21T23:13:17,136,0,0,40.15,-111.8624
Gansu,China,2020-03-21T03:13:13,134,2,113,36.0611,103.8343
Shanxi,China,2020-03-13T11:09:03,133,0,133,37.5777,112.2922
Alabama,US,2020-03-21T23:13:18,131,0,0,32.3182,-86.9023
Indiana,US,2020-03-21T23:13:18,128,4,0,39.8494,-86.2583
Liaoning,China,2020-03-20T01:43:03,126,2,122,41.2956,122.6085
Arkansas,US,2020-03-21T23:13:17,122,0,0,34.9697,-92.3731
Arizona,US,2020-03-21T23:13:18,118,1,0,33.7298,-111.4312
Oregon,US,2020-03-21T23:13:18,114,5,0,44.572,-122.0709
Jilin,China,2020-03-16T00:22:10,93,1,92,43.6661,126.1923
Faroe Islands,Denmark,2020-03-21T12:43:08,92,0,0,61.8926,-6.9118
Western Australia,Australia,2020-03-21T13:13:35,90,1,0,-31.9505,115.8605
Kentucky,US,2020-03-21T23:13:17,87,3,0,37.6681,-84.6701
District of Columbia,US,2020-03-21T02:43:03,77,1,0,38.8974,-77.0268
Xinjiang,China,2020-03-11T02:18:14,76,3,73,41.1129,85.2401
Inner Mongolia,China,2020-03-19T01:03:02,75,1,74,44.0935,113.9448
Ningxia,China,2020-03-16T14:38:45,75,0,75,37.2692,106.1655
Missouri,US,2020-03-21T17:43:03,74,3,0,38.4561,-92.2884
Maine,US,2020-03-21T23:13:18,70,0,0,44.6939,-69.3819
Iowa,US,2020-03-21T19:43:03,68,0,0,42.0115,-93.2105
South Australia,Australia,2020-03-21T13:13:35,67,0,3,-34.9285,138.6007
Rhode Island,US,2020-03-21T19:43:03,66,0,0,41.6809,-71.5118
Kansas,US,2020-03-21T23:13:18,57,2,0,38.5266,-96.7265
New Hampshire,US,2020-03-21T00:13:22,55,0,0,43.4525,-71.5639
Oklahoma,US,2020-03-21T17:43:03,53,1,0,35.5653,-96.9289
Diamond Princess,US,2020-03-20T19:43:03,49,0,0,35.4437,139.638
Delaware,US,2020-03-21T23:13:18,45,0,0,39.3185,-75.5071
New Mexico,US,2020-03-20T21:43:03,43,0,0,34.8405,-106.2485
Nebraska,US,2020-03-21T17:43:03,38,0,0,41.1254,-98.2681
Hawaii,US,2020-03-21T02:43:03,37,0,0,21.0943,-157.4983
Idaho,US,2020-03-21T02:43:03,36,0,0,44.2405,-114.4788
Channel Islands,United Kingdom,2020-03-21T21:13:29,32,0,0,49.3723,-2.3644
Vermont,US,2020-03-20T21:43:03,29,2,0,44.0459,-72.7107
North Dakota,US,2020-03-21T23:13:18,28,0,0,47.5289,-99.784
Saskatchewan,Canada,2020-03-21T02:43:03,26,0,0,52.9399,-106.4509
Grand Princess,US,2020-03-20T19:43:03,23,0,0,37.6489,-122.6655
Wyoming,US,2020-03-21T19:43:03,23,0,0,42.756,-107.3025
Nova Scotia,Canada,2020-03-21T21:13:30,21,0,0,44.682,-63.7443
Montana,US,2020-03-21T17:43:03,21,0,0,46.9219,-110.4544
Puerto Rico,US,2020-03-21T19:43:03,21,1,0,18.2208,-66.5901
Manitoba,Canada,2020-03-21T17:43:03,18,0,0,53.7609,-98.8139
Macau,China,2020-03-21T22:13:24,18,0,10,22.1667,113.55
Qinghai,China,2020-03-11T02:18:14,18,0,18,35.7452,95.9956
New Brunswick,Canada,2020-03-21T21:13:30,17,0,0,46.5653,-66.4619
Tasmania,Australia,2020-03-21T13:13:35,16,0,3,-41.4545,145.9707
French Polynesia,France,2020-03-21T12:43:08,15,0,0,-17.6797,-149.4068
Alaska,US,2020-03-21T23:13:18,15,0,0,61.3707,-152.4044
Guam,US,2020-03-21T17:43:03,15,0,0,13.4443,144.7937
South Dakota,US,2020-03-20T02:43:10,14,1,0,44.2998,-99.4388
Grand Princess,Canada,2020-03-20T03:13:18,10,0,0,37.6489,-122.6655
Gibraltar,United Kingdom,2020-03-19T20:13:52,10,0,2,36.1408,-5.3536
Australian Capital Territory,Australia,2020-03-21T13:13:35,9,0,0,-35.4735,149.0124
West Virginia,US,2020-03-21T02:43:03,8,0,0,38.4912,-80.9545
Newfoundland and Labrador,Canada,2020-03-21T21:13:29,6,0,0,53.1355,-57.6604
United States Virgin Islands,US,2020-03-21T17:43:03,6,0,0,18.3358,-64.8963
Aruba,Netherlands,2020-03-20T02:43:10,5,0,0,12.5211,-69.9683
New Caledonia,France,2020-03-21T17:43:03,4,0,0,-20.9043,165.618
St Martin,France,2020-03-19T09:33:04,4,0,0,18.0708,-63.0501
Northern Territory,Australia,2020-03-20T21:13:29,3,0,0,-12.4634,130.8456
Saint Barthelemy,France,2020-03-16T14:38:45,3,0,0,17.9,-62.8333
Curacao,Netherlands,2020-03-19T08:53:03,3,1,0,12.1696,-68.99
Cayman Islands,United Kingdom,2020-03-19T20:13:56,3,1,0,19.3133,-81.2546
Prince Edward Island,Canada,2020-03-19T18:43:03,2,0,0,46.5107,-63.4168
Greenland,Denmark,2020-03-19T08:13:19,2,0,0,71.7069,-42.6043
Bermuda,United Kingdom,2020-03-21T03:13:14,2,0,0,32.3078,-64.7505
Northwest Territories,Canada,2020-03-21T21:13:30,1,0,0,64.8255,-124.8457
Tibet,China,2020-03-11T02:18:14,1,0,1,31.6927,88.0924
Sint Maarten,Netherlands,2020-03-20T21:13:30,1,0,0,18.0425,-63.0548
US,US,2020-03-21T19:43:03,1,0,171,37.0902,-95.7129
Isle of Man,United Kingdom,2020-03-20T15:13:21,1,0,0,54.2361,-4.5481
Montserrat,United Kingdom,2020-03-18T11:53:04,1,0,0,16.7425,-62.1874
From Diamond Princess,Australia,2020-03-14T02:33:04,0,0,0,35.4437,139.638
French Guiana,France,2020-03-18T14:33:15,0,0,0,4.0,-53.0
Guadeloupe,France,2020-03-18T14:33:15,0,0,0,16.25,-61.5833
Mayotte,France,2020-03-18T14:33:15,0,0,0,-12.8431,45.1383
Reunion,France,2020-03-18T14:33:15,0,0,0,-21.1351,55.2471
