Province/State,Country/Region,Last_Update,Latitude,Longitude,Confirmed,Deaths,Recovered
New Jersey,US,3/22/20 23:45,41.13891592,-74.69118243,12,0,0
New Jersey,US,3/22/20 23:45,40.85951833,-74.99556527,9,0,0
New Jersey,US,3/22/20 23:45,39.71581067,-75.13995546,8,0,0
New Jersey,US,3/22/20 23:45,39.47538693,-74.65848483,5,0,0
New Jersey,US,3/22/20 23:45,39.15008829,-74.80170244,2,0,0
New Jersey,US,3/22/20 23:45,39.37199394,-75.10712559,1,0,0
New Jersey,US,3/22/20 23:45,39.58719656,-75.34696629999999,1,0,0
California,US,3/22/20 23:45,34.30828379,-118.22824109999999,407,5,0
California,US,3/22/20 23:45,37.23104908,-121.6970462,263,8,0
California,US,3/22/20 23:45,33.03484597,-116.73653259999999,155,0,0
California,US,3/22/20 23:45,37.422880799999994,-122.32755459999998,117,1,0
California,US,3/22/20 23:45,37.75215114,-122.43856720000001,108,0,0
California,US,3/22/20 23:45,33.70147516,-117.76459979999998,95,0,0
California,US,3/22/20 23:45,37.64629437,-121.8929271,71,0,0
California,US,3/22/20 23:45,37.91923498,-121.9289527,61,1,0
California,US,3/22/20 23:45,38.45106826,-121.34253740000001,53,3,0
California,US,3/22/20 23:45,38.07122463,-122.72106310000001,38,0,0
California,US,3/22/20 23:45,37.93433732,-121.2730061,31,2,0
California,US,3/22/20 23:45,33.74314981,-115.9933578,29,6,0
California,US,3/22/20 23:45,35.38822029,-120.4039028,27,0,0
California,US,3/22/20 23:45,34.44465746,-119.09106129999999,25,0,0
California,US,3/22/20 23:45,38.52746429,-122.88625060000001,22,1,0
California,US,3/22/20 23:45,34.84060306,-116.1774685,17,0,0
California,US,3/22/20 23:45,37.05580291,-122.0066524,15,0,0
California,US,3/22/20 23:45,38.26827353,-121.9357113,13,0,0
California,US,3/22/20 23:45,34.65329488,-120.0188492,13,0,0
California,US,3/22/20 23:45,39.06167234,-120.72405690000001,12,1,0
California,US,3/22/20 23:45,36.22026558,-118.8020203,12,0,0
California,US,3/22/20 23:45,36.21862405,-121.24133970000001,11,1,0
California,US,3/22/20 23:45,38.68278902,-121.90182879999999,6,0,0
California,US,3/22/20 23:45,36.75733899,-119.6466953,6,0,0
California,US,3/22/20 23:45,33.0393082,-115.36690420000001,6,0,0
California,US,3/22/20 23:45,36.60308176,-121.069975,5,1,0
California,US,3/22/20 23:45,37.55862499,-120.9970722,5,0,0
California,US,3/22/20 23:45,35.34329425,-118.72777959999999,5,0,0
California,US,3/22/20 23:45,37.21513971,-119.76655890000002,3,0,0
California,US,3/22/20 23:45,40.69923009,-123.876044,2,0,0
California,US,3/22/20 23:45,38.20537103,-120.55291299999999,2,0,0
California,US,3/22/20 23:45,41.59198861,-122.54074340000001,2,0,0
California,US,3/22/20 23:45,39.26255932,-121.35356440000001,2,0,0
California,US,3/22/20 23:45,40.76391419,-122.0396884,1,0,0
California,US,3/22/20 23:45,39.30394768,-120.76272809999999,1,0,0
California,US,3/22/20 23:45,39.4381191,-123.39113130000001,1,0,0
California,US,3/22/20 23:45,38.44583082,-120.65696000000001,1,0,0
California,US,3/22/20 23:45,37.93899289,-118.8872409,1,0,0
California,US,3/22/20 23:45,39.66727762,-121.6005252,1,0,0
California,US,3/22/20 23:45,38.50735751,-122.33283899999999,1,0,0
Illinois,US,3/22/20 23:45,41.84144849,-87.81658794,805,4,0
Illinois,US,3/22/20 23:45,41.85116968,-88.08642662,79,0,0
Illinois,US,3/22/20 23:45,42.3224907,-88.00367925,69,0,0
Illinois,US,3/22/20 23:45,41.44619267,-87.97862712,21,1,0
Illinois,US,3/22/20 23:45,41.93842729,-88.42861412,13,0,0
Illinois,US,3/22/20 23:45,42.32451172,-88.45248227,12,0,0
Illinois,US,3/22/20 23:45,40.48996987,-88.84621113,6,0,0
Illinois,US,3/22/20 23:45,39.75836914,-89.65872023,4,1,0
Illinois,US,3/22/20 23:45,42.33641854,-89.16085327,4,0,0
Illinois,US,3/22/20 23:45,41.59081014,-88.42869583,4,0,0
Illinois,US,3/22/20 23:45,38.46996033,-89.93063427,3,0,0
Illinois,US,3/22/20 23:45,38.60704876,-89.42385254,3,0,0
Illinois,US,3/22/20 23:45,40.78702156,-89.76078901,3,0,0
Illinois,US,3/22/20 23:45,40.78579374,-89.20973757,2,0,0
Illinois,US,3/22/20 23:45,38.83042506,-89.90422563,2,0,0
Illinois,US,3/22/20 23:45,41.13746989,-87.86205334,2,0,0
Illinois,US,3/22/20 23:45,0.0,0.0,2,3,0
Illinois,US,3/22/20 23:45,40.13919438,-88.20046615,2,0,0
Illinois,US,3/22/20 23:45,39.27432424,-88.2401158,1,0,0
Illinois,US,3/22/20 23:45,41.75509713,-89.91556058,1,0,0
Illinois,US,3/22/20 23:45,37.78595185,-89.38232563,1,0,0
Illinois,US,3/22/20 23:45,37.73033511,-88.92994027,1,0,0
Illinois,US,3/22/20 23:45,41.34426129999999,-88.88633881,1,0,0
Illinois,US,3/22/20 23:45,38.35309213,-89.40982703,1,0,0
Illinois,US,3/22/20 23:45,39.98815591,-91.18786813,1,0,0
Illinois,US,3/22/20 23:45,39.54581621,-89.27780482,1,0,0
Illinois,US,3/22/20 23:45,41.89373302,-88.76958483,1,0,0
Illinois,US,3/22/20 23:45,42.36542373,-90.21094405,1,0,0
Illinois,US,3/22/20 23:45,42.35129217,-89.662598,1,0,0
Illinois,US,3/22/20 23:45,40.89188292,-88.55784752,1,0,0
Illinois,US,3/22/20 23:45,41.46613806,-90.57042164,1,0,0
Michigan,US,3/22/20 23:45,42.28098405,-83.281255,477,5,0
Michigan,US,3/22/20 23:45,42.66090111,-83.38595416,277,2,0
Michigan,US,3/22/20 23:45,42.69158356,-82.92752801,140,1,0
Michigan,US,3/22/20 23:45,42.253105,-83.83853204,35,0,0
Michigan,US,3/22/20 23:45,43.03197711,-85.54934642,22,1,0
Michigan,US,3/22/20 23:45,43.02244215,-83.70589709,14,0,0
Michigan,US,3/22/20 23:45,42.59716886,-84.37472069,11,0,0
Michigan,US,3/22/20 23:45,42.60302282,-83.91297209,8,0,0
Michigan,US,3/22/20 23:45,42.92655373,-82.67937954,7,0,0
Michigan,US,3/22/20 23:45,41.92734151,-83.53749864,6,0,0
Michigan,US,3/22/20 23:45,42.95996803,-85.9969107,6,0,0
Michigan,US,3/22/20 23:45,43.64330771,-84.38804374,5,0,0
Michigan,US,3/22/20 23:45,41.95447397,-86.41313079999999,3,0,0
Michigan,US,3/22/20 23:45,45.37790017,-85.19614053,2,0,0
Michigan,US,3/22/20 23:45,42.94400871,-84.60145248,2,0,0
Michigan,US,3/22/20 23:45,42.59599185,-84.83740035,2,0,0
Michigan,US,3/22/20 23:45,42.24633834,-85.00493569,2,0,0
Michigan,US,3/22/20 23:45,43.33433923,-84.05131209999999,2,0,0
Michigan,US,3/22/20 23:45,43.31082541,-85.15252824,1,0,0
Michigan,US,3/22/20 23:45,43.70639106,-83.98731479,1,0,0
Michigan,US,3/22/20 23:45,44.94430054,-85.80150326,1,0,0
Michigan,US,3/22/20 23:45,45.02085831,-84.59898295,1,0,0
Michigan,US,3/22/20 23:45,42.24807035,-84.42258681,1,0,0
Michigan,US,3/22/20 23:45,42.59513984,-85.30834519,1,0,0
Michigan,US,3/22/20 23:45,44.33853602,-85.57712739,1,0,0
Michigan,US,3/22/20 23:45,43.98794227,-84.84819859999999,1,0,0
Michigan,US,3/22/20 23:45,42.59147037,-85.89102866,1,0,0
Michigan,US,3/22/20 23:45,43.46606813,-83.41897025,1,0,0
Michigan,US,3/22/20 23:45,43.98901072,-84.38774817,1,0,0
Michigan,US,3/22/20 23:45,45.52625509,-84.89083249,1,0,0
Michigan,US,3/22/20 23:45,44.69565625,-85.55585247,1,0,0
Michigan,US,3/22/20 23:45,44.33473082,-84.61067651,1,0,0
Florida,US,3/22/20 23:45,25.6112362,-80.55170587,227,0,0
Florida,US,3/22/20 23:45,26.15184651,-80.48725556,217,3,0
Florida,US,3/22/20 23:45,26.64676272,-80.46536002,72,0,0
Florida,US,3/22/20 23:45,27.9276559,-82.32013172,58,0,0
Florida,US,3/22/20 23:45,30.33225875,-81.66976468,39,1,0
Florida,US,3/22/20 23:45,27.93130349,-82.72239666,38,0,0
Florida,US,3/22/20 23:45,29.67866525,-82.35928158,35,0,0
Florida,US,3/22/20 23:45,26.11091986,-81.34687065,33,0,0
Florida,US,3/22/20 23:45,28.51367621,-81.31799498,33,2,0
Florida,US,3/22/20 23:45,26.58410348,-81.88399313,26,2,0
Florida,US,3/22/20 23:45,28.06312234,-81.14882926,24,0,0
Florida,US,3/22/20 23:45,28.7158582,-81.24060348,19,0,0
Florida,US,3/22/20 23:45,29.90096506,-81.43589967,16,0,0
Florida,US,3/22/20 23:45,27.18546175,-82.33174248,15,0,0
Florida,US,3/22/20 23:45,30.69143028,-86.59267105,14,0,0
Florida,US,3/22/20 23:45,29.05858895,-81.18263252,14,0,0
Florida,US,3/22/20 23:45,27.47196942,-82.31831044,13,1,0
Florida,US,3/22/20 23:45,28.30810945,-82.40227529,11,1,0
