Province_State,Country_Region,Last_Update,Confirmed,Deaths,Recovered
Illinois,US,3/22/20 23:45,4,0,0
Illinois,US,3/22/20 23:45,3,0,0
Illinois,US,3/22/20 23:45,3,0,0
Illinois,US,3/22/20 23:45,3,0,0
Illinois,US,3/22/20 23:45,2,0,0
Illinois,US,3/22/20 23:45,2,0,0
Illinois,US,3/22/20 23:45,2,0,0
Illinois,US,3/22/20 23:45,2,3,0
Illinois,US,3/22/20 23:45,2,0,0
Illinois,US,3/22/20 23:45,1,0,0
Illinois,US,3/22/20 23:45,1,0,0
Illinois,US,3/22/20 23:45,1,0,0
Illinois,US,3/22/20 23:45,1,0,0
Illinois,US,3/22/20 23:45,1,0,0
Illinois,US,3/22/20 23:45,1,0,0
Illinois,US,3/22/20 23:45,1,0,0
Illinois,US,3/22/20 23:45,1,0,0
Illinois,US,3/22/20 23:45,1,0,0
Illinois,US,3/22/20 23:45,1,0,0
Illinois,US,3/22/20 23:45,1,0,0
Illinois,US,3/22/20 23:45,1,0,0
Illinois,US,3/22/20 23:45,1,0,0
Michigan,US,3/22/20 23:45,477,5,0
Michigan,US,3/22/20 23:45,277,2,0
Michigan,US,3/22/20 23:45,140,1,0
Michigan,US,3/22/20 23:45,35,0,0
Michigan,US,3/22/20 23:45,22,1,0
Michigan,US,3/22/20 23:45,14,0,0
Michigan,US,3/22/20 23:45,11,0,0
Michigan,US,3/22/20 23:45,8,0,0
Michigan,US,3/22/20 23:45,7,0,0
Michigan,US,3/22/20 23:45,6,0,0
Michigan,US,3/22/20 23:45,6,0,0
Michigan,US,3/22/20 23:45,5,0,0
Michigan,US,3/22/20 23:45,3,0,0
Michigan,US,3/22/20 23:45,2,0,0
Michigan,US,3/22/20 23:45,2,0,0
Michigan,US,3/22/20 23:45,2,0,0
Michigan,US,3/22/20 23:45,2,0,0
Michigan,US,3/22/20 23:45,2,0,0
Michigan,US,3/22/20 23:45,1,0,0
Michigan,US,3/22/20 23:45,1,0,0
Michigan,US,3/22/20 23:45,1,0,0
Michigan,US,3/22/20 23:45,1,0,0
Michigan,US,3/22/20 23:45,1,0,0
Michigan,US,3/22/20 23:45,1,0,0
Michigan,US,3/22/20 23:45,1,0,0
Michigan,US,3/22/20 23:45,1,0,0
Michigan,US,3/22/20 23:45,1,0,0
Michigan,US,3/22/20 23:45,1,0,0
Michigan,US,3/22/20 23:45,1,0,0
Michigan,US,3/22/20 23:45,1,0,0
Michigan,US,3/22/20 23:45,1,0,0
Michigan,US,3/22/20 23:45,1,0,0
Florida,US,3/22/20 23:45,227,0,0
Florida,US,3/22/20 23:45,217,3,0
Florida,US,3/22/20 23:45,72,0,0
Florida,US,3/22/20 23:45,58,0,0
Florida,US,3/22/20 23:45,39,1,0
Florida,US,3/22/20 23:45,38,0,0
Florida,US,3/22/20 23:45,35,0,0
Florida,US,3/22/20 23:45,33,0,0
Florida,US,3/22/20 23:45,33,2,0
