Country_Region,Confirmed,Deaths,Last_Update,Latitude,Longitude,Province_State,Recovered
China,26.0,0.0,1/27/20 23:59,24.4753,101.3431,Yunnan,0.0
China,23.0,0.0,1/27/20 23:59,39.3434,117.3616,Tianjin,0.0
China,21.0,1.0,1/27/20 23:59,47.1216,128.7382,Heilongjiang,0.0
China,18.0,1.0,1/27/20 23:59,37.8957,114.9042,Hebei,0.0
China,14.0,0.0,1/27/20 23:59,35.7518,104.2861,Gansu,0.0
China,13.0,0.0,1/27/20 23:59,,,Shanxi,0.0
China,11.0,0.0,1/27/20 23:59,43.3782,115.0595,Inner Mongolia,0.0
China,7.0,0.0,1/27/20 23:59,26.843000000000004,107.2903,Guizhou,0.0
China,7.0,0.0,1/27/20 23:59,,,Ningxia,0.0
China,6.0,0.0,1/27/20 23:59,43.152,126.4371,Jilin,0.0
China,6.0,0.0,1/27/20 23:59,35.7448,96.4077,Qinghai,0.0
China,5.0,0.0,1/27/20 23:59,,,Xinjiang,0.0
China,3554.0,125.0,1/28/20 23:00,30.7378,112.2384,Hubei,80.0
China,207.0,0.0,1/28/20 23:00,23.379,113.7633,Guangdong,4.0
China,173.0,0.0,1/28/20 23:00,29.1416,119.7889,Zhejiang,3.0
China,168.0,1.0,1/28/20 23:00,34.2904,113.3824,Henan,0.0
China,143.0,0.0,1/28/20 23:00,27.6253,111.8569,Hunan,0.0
China,132.0,0.0,1/28/20 23:00,29.4316,106.9123,Chongqing,0.0
China,109.0,0.0,1/28/20 23:00,27.0875,114.9042,Jiangxi,3.0
China,106.0,0.0,1/28/20 23:00,30.6007,117.9249,Anhui,0.0
China,95.0,0.0,1/28/20 23:00,,,Shandong,0.0
China,91.0,1.0,1/28/20 23:00,40.2374,116.2305,Beijing,4.0
China,90.0,0.0,1/28/20 23:00,30.2638,102.8055,Sichuan,0.0
China,80.0,0.0,1/28/20 23:00,26.4837,117.9249,Fujian,0.0
China,70.0,0.0,1/28/20 23:00,33.1402,119.7889,Jiangsu,1.0
China,66.0,1.0,1/28/20 23:00,31.2192,121.4456,Shanghai,4.0
China,51.0,0.0,1/28/20 23:00,23.7248,108.8076,Guangxi,2.0
China,46.0,0.0,1/28/20 23:00,35.394,109.188,Shaanxi,0.0
China,44.0,0.0,1/28/20 23:00,24.4753,101.3431,Yunnan,0.0
China,40.0,1.0,1/28/20 23:00,19.5664,109.9497,Hainan,0.0
China,34.0,0.0,1/28/20 23:00,41.9437,122.529,Liaoning,0.0
China,33.0,1.0,1/28/20 23:00,37.8957,114.9042,Hebei,0.0
China,33.0,1.0,1/28/20 23:00,47.1216,128.7382,Heilongjiang,0.0
China,27.0,0.0,1/28/20 23:00,,,Shanxi,0.0
China,24.0,0.0,1/28/20 23:00,39.3434,117.3616,Tianjin,0.0
China,19.0,0.0,1/28/20 23:00,35.7518,104.2861,Gansu,0.0
China,15.0,0.0,1/28/20 23:00,43.3782,115.0595,Inner Mongolia,0.0
China,11.0,0.0,1/28/20 23:00,,,Ningxia,0.0
China,10.0,0.0,1/28/20 23:00,,,Xinjiang,0.0
China,9.0,0.0,1/28/20 23:00,26.843000000000004,107.2903,Guizhou,0.0
China,8.0,0.0,1/28/20 23:00,43.152,126.4371,Jilin,0.0
China,6.0,0.0,1/28/20 23:00,35.7448,96.4077,Qinghai,0.0
China,3554.0,125.0,1/29/20 19:30,30.7378,112.2384,Hubei,88.0
China,296.0,0.0,1/29/20 19:30,29.1416,119.7889,Zhejiang,3.0
China,277.0,0.0,1/29/20 19:30,23.379,113.7633,Guangdong,5.0
China,221.0,0.0,1/29/20 19:30,27.6253,111.8569,Hunan,0.0
China,206.0,2.0,1/29/20 19:30,34.2904,113.3824,Henan,1.0
China,152.0,0.0,1/29/20 19:30,30.6007,117.9249,Anhui,2.0
China,147.0,0.0,1/29/20 19:30,29.4316,106.9123,Chongqing,1.0
China,130.0,0.0,1/29/20 19:30,,,Shandong,1.0
China,111.0,1.0,1/29/20 19:30,40.2374,116.2305,Beijing,4.0
China,109.0,0.0,1/29/20 19:30,27.0875,114.9042,Jiangxi,3.0
China,108.0,1.0,1/29/20 19:30,30.2638,102.8055,Sichuan,1.0
China,99.0,0.0,1/29/20 19:30,33.1402,119.7889,Jiangsu,1.0
China,96.0,1.0,1/29/20 19:30,31.2192,121.4456,Shanghai,5.0
China,84.0,0.0,1/29/20 19:30,26.4837,117.9249,Fujian,0.0
China,58.0,0.0,1/29/20 19:30,23.7248,108.8076,Guangxi,2.0
China,56.0,0.0,1/29/20 19:30,35.394,109.188,Shaanxi,0.0
China,55.0,0.0,1/29/20 19:30,24.4753,101.3431,Yunnan,0.0
China,48.0,1.0,1/29/20 19:30,37.8957,114.9042,Hebei,0.0
China,43.0,1.0,1/29/20 19:30,19.5664,109.9497,Hainan,0.0
China,39.0,0.0,1/29/20 19:30,41.9437,122.529,Liaoning,1.0
China,38.0,1.0,1/29/20 19:30,47.1216,128.7382,Heilongjiang,0.0
China,27.0,0.0,1/29/20 19:30,39.3434,117.3616,Tianjin,0.0
China,27.0,0.0,1/29/20 19:30,,,Shanxi,1.0
China,24.0,0.0,1/29/20 19:30,35.7518,104.2861,Gansu,0.0
China,16.0,0.0,1/29/20 19:30,43.3782,115.0595,Inner Mongolia,0.0
China,13.0,0.0,1/29/20 19:30,,,Xinjiang,0.0
China,12.0,0.0,1/29/20 19:30,,,Ningxia,0.0
China,9.0,0.0,1/29/20 19:30,26.843000000000004,107.2903,Guizhou,1.0
China,9.0,0.0,1/29/20 19:30,43.152,126.4371,Jilin,0.0
China,6.0,0.0,1/29/20 19:30,35.7448,96.4077,Qinghai,0.0
China,4903.0,162.0,1/30/20 16:00,30.7378,112.2384,Hubei,90.0
China,428.0,0.0,1/30/20 16:00,29.1416,119.7889,Zhejiang,4.0
China,354.0,0.0,1/30/20 16:00,23.379,113.7633,Guangdong,10.0
China,278.0,2.0,1/30/20 16:00,34.2904,113.3824,Henan,2.0
China,277.0,0.0,1/30/20 16:00,27.6253,111.8569,Hunan,2.0
China,200.0,0.0,1/30/20 16:00,30.6007,117.9249,Anhui,2.0
China,182.0,0.0,1/30/20 16:00,29.4316,106.9123,Chongqing,1.0
China,162.0,0.0,1/30/20 16:00,27.0875,114.9042,Jiangxi,5.0
China,158.0,0.0,1/30/20 16:00,,,Shandong,1.0
China,142.0,1.0,1/30/20 16:00,30.2638,102.8055,Sichuan,1.0
China,129.0,0.0,1/30/20 16:00,33.1402,119.7889,Jiangsu,1.0
China,114.0,1.0,1/30/20 16:00,40.2374,116.2305,Beijing,4.0
China,112.0,1.0,1/30/20 16:00,31.2192,121.4456,Shanghai,5.0
China,101.0,0.0,1/30/20 16:00,26.4837,117.9249,Fujian,0.0
